"","m0","notas.bcra","reserves","badlar","exchange","month","year","date","date2","regime","convertion1","convertion2","notas.bcra.dollars","m0.dollars","m0.frac","notas.bcra.frac"
"135",NA,71.8858,NA,NA,2.3989,3,2002,"2002-3",2002-03-01,"NK",NA,NA,29.9661511526116,NA,NA,NA
"155",NA,270.249,NA,NA,3.3287,5,2002,"2002-5",2002-05-01,"NK",NA,NA,81.1875506954667,NA,NA,NA
"115",NA,447.504,NA,NA,3.6213,6,2002,"2002-6",2002-06-01,"NK",NA,NA,123.575511556623,NA,NA,NA
"95",NA,708.865,NA,NA,3.6071,7,2002,"2002-7",2002-07-01,"NK",NA,NA,196.51936458651,NA,NA,NA
"19",NA,1367.54,NA,NA,3.6207,8,2002,"2002-8",2002-08-01,"NK",NA,NA,377.700444665396,NA,NA,NA
"213",NA,1722.18,NA,NA,3.6431,9,2002,"2002-9",2002-09-01,"NK",NA,NA,472.723779199034,NA,NA,NA
"194",NA,2091.82,NA,NA,3.6519,10,2002,"2002-10",2002-10-01,"NK",NA,NA,572.803198335113,NA,NA,NA
"175",NA,2499.4,NA,NA,3.5256,11,2002,"2002-11",2002-11-01,"NK",NA,NA,708.928976628092,NA,NA,NA
"38",NA,2450.82,NA,NA,3.4902,12,2002,"2002-12",2002-12-01,"NK",NA,NA,702.20044696579,NA,NA,NA
"57",29610,3038.82,9914.68,16.9375,3.2582,1,2003,"2003-1",2003-01-01,"NK",2.98648065293081,3.29297768561366,932.668344484685,9087.83991160764,0.906924048097297,0.0930759519027028
"76",29420,3539.45,9652.3,24.6875,3.1632,2,2003,"2003-2",2003-02-01,"NK",3.04797820208655,3.41467318670162,1118.94600404654,9300.708143652,0.892611982299462,0.107388017700538
"136",30388,3577.07,10372.9,25.125,3.0747,3,2003,"2003-3",2003-03-01,"NK",2.92955682595995,3.27440445776977,1163.38829804534,9883.24064136339,0.894683861979381,0.105316138020619
"156",33105,4093.68,11086.9,9.5,2.8357,5,2003,"2003-5",2003-05-01,"NK",2.98595639899341,3.35519216372476,1443.62238600698,11674.3661177134,0.88995093374281,0.11004906625719
"116",36160,4652.31,11763.2,5.25,2.8089,6,2003,"2003-6",2003-06-01,"NK",3.07399347116431,3.46949044477693,1656.27469828047,12873.3667983908,0.88600718753729,0.11399281246271
"96",37977,6089.13,12774.1,2.875,2.8013,7,2003,"2003-7",2003-07-01,"NK",2.97296874143775,3.44964655044191,2173.68007710706,13556.9200014279,0.861818362538303,0.138181637461697
"20",38974,6791.28,13401.7,3.5625,2.9285,8,2003,"2003-8",2003-08-01,"NK",2.90813851974003,3.41488617115739,2319.03022024927,13308.5197199932,0.8516062831911,0.1483937168089
"214",39726,6927.92,12453.7,4.125,2.9209,9,2003,"2003-9",2003-09-01,"NK",3.18989537245959,3.74618948585561,2371.84429456674,13600.6025540073,0.85150401080981,0.14849598919019
"195",41729,7646.74,13246.9,3.375,2.8591,10,2003,"2003-10",2003-10-01,"NK",3.15009549404012,3.72734300100401,2674.52694903991,14595.1523206603,0.845131637520774,0.154868362479226
"176",43498,8243.25,13284.7,3.1875,2.8839,11,2003,"2003-11",2003-11-01,"NK",3.27429298365789,3.89480003312081,2858.36887548112,15083.0472623877,0.840683207305583,0.159316792694417
"39",45378,8506.17,13819.9,2.8125,2.9606,12,2003,"2003-12",2003-12-01,"NK",3.28352592999949,3.89902748934507,2873.12369114369,15327.2985205702,0.842139723039253,0.157860276960747
"58",46973,9175.84,14484.2,1.5,2.8928,1,2004,"2004-1",2004-01-01,"NK",3.24305104872896,3.87655790447522,3171.95796460177,16237.9009955752,0.836580061137505,0.163419938862495
"77",46885,10187,15009.1,1.125,2.9319,2,2004,"2004-2",2004-02-01,"NK",3.12377157857566,3.80249315415315,3474.53869504417,15991.3366758757,0.821506167647883,0.178493832352117
"137",44566,10728.3,13506.8,1.6875,2.8976,3,2004,"2004-3",2004-03-01,"NK",3.29952320312731,4.09381200580448,3702.47791275538,15380.3147432358,0.80597819305064,0.19402180694936
"1",46092,11309.6,15254.8,1.8125,2.8359,4,2004,"2004-4",2004-04-01,"NK",3.02147520780345,3.76285497023888,3988.01086074967,16253.0413625304,0.802974133125209,0.197025866874791
"157",47122,11905.8,16252.1,3.875,2.9197,5,2004,"2004-5",2004-05-01,"NK",2.89944068766498,3.63201063247211,4077.74771380621,16139.3293831558,0.798301817109904,0.201698182890096
"117",47984,12345.5,17240.3,2.4375,2.9603,6,2004,"2004-6",2004-06-01,"NK",2.78324623121407,3.49933005806163,4170.35435597743,16209.1679897308,0.795365451396083,0.204634548603917
